Name,15 Minutes,Hourly,Daily,Weekly,Monthly
Reliance Industries,Strong Sell,Strong Sell,Strong Sell,Sell,Strong Buy
Tata Consultancy,Strong Sell,Strong Sell,Strong Sell,Neutral,Strong Buy
HDFC Bank,Strong Buy,Sell,Strong Sell,Sell,Strong Buy
Hindustan Unilever,Strong Sell,Strong Sell,Strong Buy,Strong Buy,Strong Buy
Housing Development Finance,Strong Sell,Strong Sell,Strong Sell,Neutral,Strong Buy
ICICI Bank,Strong Sell,Strong Sell,Strong Sell,Strong Buy,Strong Buy
Infosys,Strong Sell,Strong Sell,Neutral,Strong Buy,Strong Buy
Kotak Mahindra Bank,Strong Buy,Neutral,Neutral,Strong Buy,Strong Buy
SBI,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy
Bharti Airtel,Neutral,Strong Buy,Neutral,Strong Buy,Strong Buy
Bajaj Finance,Strong Buy,Neutral,Strong Buy,Strong Buy,Strong Buy
ITC,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
AXIS Bank,Strong Sell,Strong Sell,Strong Sell,Sell,Strong Buy
Maruti Suzuki,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Standard Chartered DRC,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Asian Paints,Strong Sell,Strong Sell,Sell,Strong Buy,Strong Buy
Larsen & Toubro,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
HCL Tech,Sell,Strong Sell,Sell,Buy,Strong Buy
Nestle India,Strong Sell,Strong Sell,Neutral,Strong Buy,Strong Buy
Avenue Supermarts,Strong Sell,Sell,Buy,Strong Buy,Strong Buy
Bajaj Finserv,Strong Sell,Strong Sell,Strong Sell,Strong Buy,Strong Buy
Wipro,Sell,Strong Sell,Strong Sell,Strong Sell,Neutral
UltraTech Cement,Strong Sell,Strong Sell,Sell,Buy,Strong Buy
Oil & Natural Gas,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Titan Company,Buy,Strong Sell,Sell,Strong Buy,Strong Buy
HDFC Life,Strong Sell,Strong Sell,Strong Sell,Sell,Strong Buy
NTPC,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Coal India,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Indian Oil,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Power Grid,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Sun Pharma,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
SBI Life Insurance,Strong Sell,Strong Sell,Strong Sell,Sell,Strong Buy
Dabur India,Strong Sell,Strong Sell,Sell,Strong Buy,Strong Buy
Bharat Petroleum,Strong Sell,Strong Sell,Strong Sell,Sell,Strong Buy
Bajaj Auto,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Buy
Shree Cements,Sell,Strong Sell,Sell,Strong Buy,Strong Buy
IndusInd Bank,Buy,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Tech Mahindra,Strong Sell,Strong Sell,Neutral,Strong Buy,Strong Buy
Pidilite Industries,Strong Sell,Strong Sell,Neutral,Strong Buy,Strong Buy
Hindustan Zinc,Neutral,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Britannia Industries,Strong Sell,Strong Sell,Strong Sell,Neutral,Strong Buy
Adani,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Neutral
HDFC Asset Management,Strong Sell,Strong Sell,Neutral,Buy,Strong Buy
ICICI Prudential Life Insurance,Strong Sell,Strong Sell,Strong Sell,Sell,Strong Buy
Bandhan Bank,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
JSW Steel,Strong Sell,Strong Sell,Strong Sell,Neutral,Buy
JSW Steel,Strong Buy,Strong Buy,Strong Sell,Strong Sell,Strong Sell
Godrej Consumer,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Mahindra & Mahindra,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Divi's Labs,Strong Buy,Buy,Strong Buy,Strong Buy,Strong Buy
ICICI Lombard,Strong Sell,Strong Sell,Strong Sell,Neutral,Strong Buy
Berger Paints,Strong Sell,Strong Sell,Sell,Strong Buy,Strong Buy
Interglobe Aviation Ltd,Strong Buy,Neutral,Strong Sell,Neutral,Neutral
DLF,Strong Sell,Strong Sell,Strong Sell,Neutral,Strong Buy
Tata Motors,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Dr. Reddy's Labs,Strong Sell,Strong Sell,Strong Sell,Strong Buy,Strong Buy
United Spirits,Strong Sell,Strong Sell,Buy,Strong Buy,Strong Buy
GAIL Ltd,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Vedanta Pref,-,-,-,-,-
Vedanta,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Siemens Ltd,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Buy
Eicher Motors,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Tata Steel Ltd,Neutral,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Grasim Industries,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Hero MotoCorp,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
UPL,Strong Sell,Strong Sell,Strong Sell,Neutral,Neutral
UPL Pref,-,-,-,-,-
UPL Ltd Pref 2,-,-,-,-,-
Ambuja Cements,Sell,Strong Buy,Strong Buy,Strong Buy,Neutral
GlaxoSmithkline Healthcare,Strong Sell,Strong Sell,Strong Buy,Strong Buy,Strong Buy
Havells India,Neutral,Strong Buy,Strong Buy,Neutral,Sell
Bharti Infratel,Strong Buy,Neutral,Strong Sell,Strong Sell,Strong Sell
Marico,Strong Buy,Strong Buy,Sell,Strong Sell,Strong Sell
Petronet LNG,Strong Sell,Strong Sell,Strong Sell,Sell,Strong Buy
Bosch,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Bajaj Holdings,Sell,Strong Sell,Strong Sell,Neutral,Strong Buy
Torrent Pharma,Neutral,Strong Buy,Strong Buy,Strong Buy,Strong Buy
Hindalco Industries,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Muthoot Finance,Strong Sell,Buy,Strong Buy,Strong Buy,Strong Buy
Bank Of Baroda,Neutral,Neutral,Strong Sell,Strong Sell,Strong Sell
Procter & Gamble Hygiene,Strong Buy,Neutral,Strong Sell,Neutral,Strong Buy
Colgate-Palmolive India,Sell,Strong Sell,Strong Sell,Strong Sell,Neutral
AU Small Finance Bank,Neutral,Strong Buy,Strong Buy,Strong Buy,Strong Buy
Biocon,Strong Sell,Strong Sell,Neutral,Strong Buy,Strong Buy
Motherson Sumi Systems,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Embassy Office,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy
Larsen & Toubro Infotech,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy
IDBI Bank,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Abbott India,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy
Cipla,Buy,Neutral,Strong Sell,Strong Sell,Strong Sell
Power Finance,Strong Sell,Strong Sell,Buy,Strong Buy,Strong Buy
General Insurance India,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Punjab National Bank,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
United Breweries Ltd,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Neutral
Piramal Enterprises,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Indraprastha Gas,Strong Sell,Strong Sell,Strong Sell,Strong Buy,Strong Buy
Hindustan Petroleum,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Alkem Laboratories Ltd,Neutral,Strong Buy,Strong Buy,Strong Buy,Strong Buy
Info Edge India,Strong Sell,Strong Sell,Strong Sell,Neutral,Strong Buy
Container India,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Neutral
Indian Railway Catering,Strong Sell,Neutral,Strong Buy,Strong Buy,Strong Buy
Lupin,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
NMDC,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Aurobindo Pharma,Strong Buy,Sell,Strong Sell,Neutral,Strong Sell
Honeywell Automation,Strong Sell,Strong Sell,Neutral,Strong Buy,Strong Buy
Adani Transmission Ltd,Strong Sell,Strong Sell,Strong Sell,Sell,Strong Buy
Shriram Transport,Strong Sell,Strong Sell,Strong Buy,Strong Buy,Strong Buy
M.R.F.,Strong Sell,Strong Sell,Strong Sell,Strong Buy,Strong Buy
Whirlpool of India,Strong Sell,Strong Sell,Strong Sell,Neutral,Strong Buy
Godrej Properties,Neutral,Strong Sell,Sell,Strong Buy,Strong Buy
Kansai Nerolac Paints,Strong Sell,Strong Sell,Strong Sell,Sell,Strong Buy
Cadila Healthcare,Strong Sell,Strong Sell,Strong Sell,Neutral,Strong Sell
Adani Green Energy,Strong Sell,Strong Sell,Strong Sell,Strong Buy,Strong Buy
Adani Enterprises,Strong Sell,Strong Sell,Neutral,Strong Buy,Strong Buy
ACC,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Trent,Strong Sell,Strong Sell,Strong Buy,Strong Buy,Strong Buy
Nippon India,Strong Sell,Neutral,Strong Buy,Strong Buy,Strong Buy
REC,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Neutral
ABB India,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Cholamandalam,Strong Sell,Strong Sell,Strong Sell,Buy,Strong Buy
Page Industries,Strong Sell,Strong Sell,Strong Sell,Sell,Buy
Apollo Hospitals,Strong Sell,Strong Sell,Strong Buy,Strong Buy,Strong Buy
Jubilant Foodworks,Neutral,Sell,Neutral,Strong Buy,Strong Buy
Varun Beverages,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy
Zee Entertainment,Strong Buy,Buy,Neutral,Strong Sell,Strong Sell
SRF,Sell,Neutral,Buy,Strong Buy,Strong Buy
3M India,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Neutral
Oracle,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Hindustan Aeronautics,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Sell
GRUH Finance,-,-,-,-,-
L&T Finance Hld,Neutral,Strong Sell,Strong Sell,Neutral,Neutral
Tata Global Beverages,Sell,Strong Sell,Sell,Strong Buy,Strong Buy
Balkrishna Industries,Strong Sell,Strong Sell,Strong Buy,Strong Buy,Strong Buy
Ashok Leyland,Strong Sell,Strong Sell,Strong Sell,Neutral,Strong Sell
Voltas,Strong Sell,Strong Sell,Sell,Strong Buy,Strong Buy
GlaxoSmithkline Pharma,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Neutral
Mahindra & Mahindra Financial,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Neutral
Tata Motors DV Ltd,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
NHPC,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Bata India,Strong Sell,Strong Sell,Strong Sell,Neutral,Strong Buy
PI Industries,Strong Sell,Strong Sell,Neutral,Strong Buy,Strong Buy
Bharat Forge,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Sell
Adani Power,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Buy
TVS Motor Company,Strong Buy,Neutral,Strong Sell,Strong Sell,Strong Sell
Aditya Birla Fashion,Strong Sell,Strong Sell,Strong Buy,Strong Buy,Strong Buy
Bayer Cropscience,Neutral,Neutral,Strong Buy,Strong Buy,Strong Buy
Gujarat Gas,Strong Sell,Strong Sell,Sell,Strong Buy,Strong Buy
Bharat Electronics,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
New India Assurance,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Pfizer Ltd,Neutral,Neutral,Buy,Strong Buy,Strong Buy
Gillette India,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Relaxo Footwears Ltd,Strong Sell,Strong Sell,Neutral,Strong Buy,Strong Buy
Tata Chemicals,Strong Sell,Strong Sell,Sell,Strong Buy,Strong Buy
Aditya Birla Capital,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
IDFC First Bank,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Gujarat Gas,Strong Sell,Strong Sell,Strong Sell,Strong Buy,Strong Buy
Oberoi Realty,Strong Buy,Strong Sell,Strong Sell,Strong Sell,Buy
Bank of India,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Crompton Greaves Consumer Electricals Ltd,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy
The Ramco Cements,Strong Sell,Strong Sell,Strong Sell,Neutral,Strong Buy
Astral Poly Technik Ltd,Neutral,Strong Sell,Neutral,Strong Buy,Strong Buy
Coromandel Int,Sell,Strong Sell,Sell,Strong Buy,Strong Buy
Sun TV Network Ltd,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Sundaram Finance,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Buy
L&T Technology Services,Strong Sell,Strong Sell,Neutral,Strong Buy,Strong Buy
Aarti Industries,Strong Sell,Strong Sell,Buy,Strong Buy,Strong Buy
Supreme Industries,Strong Sell,Strong Sell,Neutral,Strong Buy,Strong Buy
Future Retail,Neutral,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Federal Bank,Strong Buy,Neutral,Strong Sell,Strong Sell,Strong Sell
Lic Housing Finance,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Polycab India,Neutral,Strong Buy,Strong Buy,Strong Buy,Strong Buy
Ipca Laboratories,Strong Sell,Strong Sell,Buy,Strong Buy,Strong Buy
Jindal Steel&Power,Strong Sell,Strong Sell,Strong Sell,Strong Buy,Strong Buy
Sanofi India,Neutral,Neutral,Strong Buy,Strong Buy,Strong Buy
Indian Hotels Co.,Strong Sell,Strong Sell,Sell,Strong Sell,Neutral
Adani Gas,Strong Sell,Strong Sell,Strong Sell,Neutral,Strong Buy
MindTree,Strong Sell,Strong Sell,Strong Buy,Strong Buy,Strong Buy
AIA Engineering,Strong Sell,Strong Sell,Strong Sell,Strong Buy,Strong Buy
Mphasis,Strong Buy,Strong Sell,Strong Sell,Strong Sell,Sell
Canara Bank,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
ICICI Securities,Sell,Neutral,Strong Buy,Strong Buy,Strong Buy
RBL Bank,Strong Buy,Strong Buy,Strong Sell,Strong Sell,Strong Sell
Max Financial,Neutral,Neutral,Strong Buy,Strong Buy,Strong Buy
City Union Bank,Strong Sell,Strong Sell,Strong Sell,Neutral,Strong Buy
Dalmia Bharat B,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Steel Authority,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Manappuram Finance,Strong Sell,Sell,Strong Buy,Strong Buy,Strong Buy
Aavas Financiers,Strong Sell,Strong Sell,Sell,Buy,Strong Buy
Castrol India,Strong Sell,Strong Sell,Neutral,Strong Buy,Buy
Atul,Strong Buy,Neutral,Neutral,Strong Buy,Strong Buy
Torrent Power Ltd,Neutral,Strong Sell,Strong Sell,Strong Buy,Strong Buy
Exide Industries,Neutral,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Cummins India Ltd,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
GMR Infrastructure,Strong Sell,Strong Sell,Neutral,Strong Buy,Strong Buy
Schaeffler India,Neutral,Strong Sell,Strong Sell,Neutral,Sell
Iifl Wealth,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy
Union Bank of India,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Indiabulls,Neutral,Strong Sell,Buy,Neutral,Strong Sell
The Phoenix Mills,Strong Sell,Strong Sell,Neutral,Strong Buy,Strong Buy
Endurance Technologies Cn,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Sell
Dr Lal PathLabs Ltd,Strong Sell,Strong Sell,Buy,Buy,Strong Buy
Godrej Industries,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
CreditAccess Grameen,Strong Sell,Sell,Strong Buy,Strong Buy,Strong Buy
Gujarat State Petronet,Strong Sell,Strong Sell,Strong Sell,Strong Buy,Strong Buy
WABCO India,Strong Buy,Neutral,Strong Buy,Strong Buy,Strong Buy
Tata Power Co.,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Prestige Estates,Strong Sell,Strong Sell,Strong Sell,Neutral,Strong Buy
Bharat Financial,-,-,-,-,-
Ajanta Pharma Ltd,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy
Sumitomo Chemical,Strong Buy,Strong Buy,Neutral,Buy,Strong Buy
Alembic Pharmaceuticals Ltd,Strong Sell,Strong Sell,Buy,Strong Buy,Strong Buy
Syngene International Ltd,Strong Sell,Neutral,Strong Sell,Strong Sell,Neutral
Emami,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Oil India,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
NIIT Technologies,Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy
CRISIL,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Neutral
Fortis Healthcare,Strong Sell,Strong Sell,Neutral,Strong Buy,Strong Buy
Motilal Oswal,Sell,Strong Sell,Strong Sell,Buy,Strong Buy
Amara Raja Batteries,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Neutral
Vodafone Idea,Neutral,Strong Buy,Strong Sell,Strong Sell,Strong Sell
Natco Pharma,Strong Sell,Strong Sell,Strong Sell,Neutral,Buy
Bharat Heavy Electricals,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Solar Industries India Ltd,Strong Buy,Strong Buy,Neutral,Strong Buy,Strong Buy
Indian Overseas Bank,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
J.K. Cement,Neutral,Sell,Strong Buy,Strong Buy,Strong Buy
Thermax,Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Corporation Bank,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Hexaware Technologies,Strong Sell,Strong Sell,Sell,Strong Buy,Strong Buy
Hatsun Agro Product Ltd,Neutral,Neutral,Strong Buy,Strong Buy,Strong Buy
Mahanagar Gas,Strong Sell,Strong Sell,Strong Sell,Buy,Strong Buy
Orchid Pharma,-,-,-,-,-
Tata Communications,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Akzo Nobel India,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy
PVR,Strong Sell,Strong Sell,Sell,Strong Buy,Strong Buy
Vinati Organics Ltd,Buy,Strong Sell,Sell,Neutral,Buy
Tube Invest India,Strong Sell,Strong Buy,Strong Buy,Strong Buy,Strong Buy
Cholamandalam Financial,Strong Sell,Strong Sell,Neutral,Strong Buy,Strong Buy
Minda Industries,Strong Buy,Neutral,Strong Sell,Buy,Strong Buy
JM Financial,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy
Escorts,Strong Sell,Strong Sell,Sell,Strong Buy,Strong Buy
Godrej Agrovet,Neutral,Strong Sell,Strong Sell,Strong Sell,Neutral
JSW Energy,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Yes Bank,Strong Buy,Strong Buy,Neutral,Strong Sell,Strong Sell
SJVN,Neutral,Strong Sell,Strong Sell,Strong Sell,Strong Sell
UCO Bank,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Shriram-City Union,Strong Buy,Neutral,Strong Sell,Strong Sell,Strong Sell
SKF India,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Neutral
Metropolis Healthcare,Sell,Strong Buy,Strong Buy,Strong Buy,Strong Buy
Symphony Ltd,Strong Sell,Strong Sell,Strong Buy,Strong Buy,Strong Buy
Ujjivan Small Fin,Strong Sell,Strong Sell,Strong Sell,Neutral,Neutral
CBI,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Sundram Fasteners,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
V Guard Industries,Neutral,Strong Sell,Strong Sell,Strong Sell,Neutral
Indiabulls Ventures,Strong Sell,Strong Sell,Neutral,Neutral,Sell
CESC,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Aster DM Healthcare,Neutral,Strong Sell,Neutral,Strong Buy,Strong Buy
Security and Intelligence,Strong Sell,Strong Sell,Strong Buy,Strong Buy,Strong Buy
Kajaria Ceramics,Strong Sell,Strong Sell,Strong Sell,Sell,Neutral
Apollo Tyres,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Edelweiss Financial,Strong Sell,Strong Sell,Neutral,Strong Sell,Strong Sell
Zydus Wellness,Sell,Strong Sell,Strong Sell,Strong Sell,Buy
Aegis Logistics Ltd,Neutral,Buy,Buy,Strong Buy,Strong Buy
Glenmark Pharma,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
KEC International,Strong Sell,Strong Sell,Strong Sell,Strong Buy,Strong Buy
Jubilant Life Sciences,Neutral,Strong Sell,Strong Sell,Strong Sell,Strong Sell
TTK Prestige,Strong Buy,Strong Buy,Neutral,Sell,Neutral
Blue Star,Strong Sell,Strong Sell,Strong Buy,Strong Buy,Strong Buy
Sheela Foam,Strong Sell,Strong Sell,Buy,Strong Buy,Strong Buy
RITES,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy
Quess Corp,Strong Buy,Neutral,Strong Sell,Neutral,Strong Sell
Timken India,Neutral,Strong Sell,Strong Buy,Strong Buy,Strong Buy
Johnson Controls-Hitachi Air,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy
Bombay Burmah Trading,Strong Buy,Buy,Strong Sell,Neutral,Buy
Navin Fluorine,Sell,Strong Buy,Strong Buy,Strong Buy,Strong Buy
EIH,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
NLC India,Strong Sell,Strong Sell,Sell,Strong Sell,Strong Sell
Future Lifestyle Fashions Ltd,Sell,Strong Sell,Strong Sell,Strong Sell,Sell
ITI Ltd,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Sell
Spandana Sphoorty Financial Ltd BO,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy
Multi Commodity Exchange,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy
Avanti Feeds,Strong Sell,Strong Sell,Strong Sell,Sell,Strong Buy
Deepak Nitrite Ltd,Neutral,Strong Buy,Strong Buy,Strong Buy,Strong Buy
Narayana Hrudayalaya,Strong Buy,Buy,Strong Sell,Buy,Strong Buy
Merck Ltd,Neutral,Neutral,Strong Sell,Neutral,Strong Buy
UBOI,Strong Sell,Neutral,Strong Sell,Strong Sell,Strong Sell
Fine Organic,Strong Sell,Strong Sell,Neutral,Strong Buy,Strong Buy
Finolex Industries,Sell,Strong Sell,Sell,Neutral,Strong Buy
Chalet Hotels,Neutral,Strong Sell,Strong Sell,Strong Sell,Buy
Can Fin Homes,Strong Sell,Strong Sell,Strong Buy,Strong Buy,Strong Buy
Mangalore,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
PNB Housing Finance,Neutral,Strong Sell,Strong Sell,Strong Sell,Strong Sell
AstraZeneca Pharma,Neutral,Strong Sell,Neutral,Buy,Strong Buy
Grindwell Norton Ltd,Sell,Strong Sell,Strong Sell,Neutral,Strong Buy
Blue Dart Express,Strong Sell,Strong Sell,Sell,Buy,Sell
National Aluminum Co.,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Bank of maharashtra,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
VST Industries,Strong Sell,Strong Sell,Strong Sell,Sell,Strong Buy
KIOCL,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Housing Urban Develop,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
KRBL Ltd,Strong Sell,Strong Sell,Strong Sell,Neutral,Neutral
Vardhman Textiles,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy
Chambal Fertilisers,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Neutral
Carborundum Universal,Strong Sell,Strong Sell,Strong Sell,Neutral,Neutral
Ratnamani Metals Tubes Ltd,Neutral,Neutral,Strong Buy,Strong Buy,Strong Buy
CMC,-,-,-,-,-
V I P Industries,Sell,Strong Sell,Strong Sell,Sell,Buy
Asahi India Glass,Neutral,Strong Sell,Neutral,Strong Buy,Strong Buy
Century Textiles,Strong Sell,Strong Sell,Strong Sell,Neutral,Strong Sell
MAS Financial,Strong Sell,Buy,Strong Buy,Strong Buy,Strong Buy
Vijaya Bank,-,-,-,-,-
Linde India,Strong Sell,Strong Sell,Strong Sell,Strong Buy,Strong Buy
Godfrey Phillips India,Strong Sell,Strong Sell,Strong Sell,Neutral,Strong Buy
Capital First,-,-,-,-,-
India Grid Trust,Neutral,Neutral,Strong Buy,Strong Buy,Strong Buy
Gujarat Fluorochemicals,Strong Sell,Strong Sell,Strong Sell,Neutral,Neutral
Tata Elxsi,Strong Sell,Strong Sell,Strong Sell,Strong Buy,Strong Buy
Galaxy Surfactants,Neutral,Neutral,Neutral,Strong Buy,Strong Buy
Eris Lifesciences,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Essel Propack,Strong Sell,Strong Sell,Strong Sell,Strong Buy,Strong Buy
Orient Electric,Strong Buy,Buy,Strong Buy,Strong Buy,Strong Buy
Affle India,Buy,Neutral,Strong Buy,Strong Buy,Strong Buy
Indian Energy Exchange,Buy,Neutral,Strong Buy,Strong Buy,Strong Buy
IIFL Fiinance B,Strong Sell,Strong Sell,Strong Sell,Neutral,Strong Sell
Radico Khaitan,Sell,Neutral,Strong Buy,Strong Buy,Strong Buy
Birla Corporation,Strong Sell,Strong Sell,Sell,Strong Buy,Strong Buy
Syndicate Bank,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
State Bank of Bikaner and Jaipur,-,-,-,-,-
Mahindra CIE Automotive Ltd,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
IDFC,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Kalpataru Power,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Varroc Engineering,Buy,Neutral,Strong Sell,Strong Sell,Strong Sell
Persistent Systems,Neutral,Neutral,Buy,Strong Buy,Strong Buy
Maharashtra Scooters,Strong Sell,Strong Sell,Sell,Buy,Strong Buy
Sunteck Realty,Sell,Strong Sell,Strong Sell,Strong Sell,Sell
ORBC,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Finolex Cables,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Bharat Dynamics,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Sell
DCM Shriram,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Sell
Nesco,Strong Sell,Strong Sell,Sell,Strong Buy,Strong Buy
NBCC India,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
DCB Bank Ltd,Neutral,Sell,Strong Sell,Strong Sell,Sell
Welspun Corp,Strong Sell,Strong Sell,Sell,Strong Buy,Strong Buy
